,repository_name,language
0,robotiq-gripper-interface,C++
1,sample-fire-tv-app-video-skill,Java
2,selling-partner-api-docs,
3,selling-partner-api-models,Mustache
4,selling-partner-api-samples,Python
5,seqzero,Python
6,service-model-swift-code-generate,Swift
7,sketch-constructor,JavaScript
8,smoke-aws,Swift
9,smoke-aws-credentials,Swift
10,smoke-aws-generate,Swift
11,smoke-aws-support,Swift
12,smoke-dynamodb,Swift
13,smoke-framework,Swift
14,smoke-framework-application-generate,Swift
15,smoke-framework-examples,Swift
16,smoke-http,Swift
17,sparse-vqvae,Python
18,ss-aga-kgc,Python
19,sto-transformer,Python
20,style-dictionary,JavaScript
21,supply-chain-simulation-environment,Python
22,tiny-attribution-generator,TypeScript
23,trans-encoder,Python
24,user-satisfaction-modeling,Python
25,workspace-resolver,JavaScript
26,ws-vae,Python
27,xfer,Python
28,zeek-plugin-bacnet,Zeek
29,zeek-plugin-enip,Zeek
