,repository_name,language
0,spark-bigquery,Scala
1,sparkey,C
2,sparkey-java,Java
3,sparkey-python,Python
4,spawn,Java
5,spotify-checkstyle-config,
6,spotify-heroic-datasource,TypeScript
7,spotify-js-challenge,JavaScript
8,spotify-json,C++
9,spotify-tensorflow,Python
10,spotify-web-api-ts-sdk,TypeScript
11,spotify-web-playback-sdk-example,JavaScript
12,spotify.github.io,HTML
13,SpotifyLogin,Swift
14,sprunch,Scala
15,SPStackedNav,Objective-C
16,SPTDataLoader,Objective-C
17,SPTPersistentCache,Objective-C
18,spydra,Java
19,spymaster,Python
20,squashing-census-exporter,Kotlin
21,ssh-agent-proxy,Java
22,ssh-agent-tls,Java
23,styx,Java
24,super-smash-brogp,Python
25,swupdate,
26,syslog-redirector,Go
27,syslog-redirector-golang,Go
28,talos,Ruby
29,terraform-gke-kubeflow-cluster,HCL
